RAJ2000	DEJ2000	HIP	RArad	DErad	Plx	pmRA	pmDE	Hpmag	B-V
000.0009007898	+01.0890104258	     1	000.00091185	+01.08901332	   4.55	   -4.55	   -1.19	 9.2043	 0.482
000.0042689191	-19.4988405639	     2	000.00379738	-19.49883738	  20.85	  182.88	   -1.31	 9.4017	 0.999
000.0050212715	+38.8592777449	     3	000.00500794	+38.85928608	   2.26	    4.27	   -3.43	 6.6081	-0.019
000.0086285885	-51.8935456448	     4	000.00838188	-51.89354611	   7.45	   62.64	    0.19	 8.1498	 0.370
000.0099710689	-40.5912048615	     5	000.00996502	-40.59122445	   3.88	    1.89	    8.06	 8.7077	 0.902
000.0186903971	+03.9464530120	     6	000.01814086	+03.94648811	  18.17	  225.56	  -14.44	12.4488	 1.336
000.0220110544	+20.0361123159	     7	000.02254892	+20.03660198	  17.28	 -207.90	 -201.46	 9.6795	 0.740
000.0273476200	+25.8864591171	     8	000.02729175	+25.88647460	   4.98	   20.68	   -6.37	 8.5522	 1.102
000.0353211191	+36.5859585244	     9	000.03534194	+36.58593769	   2.38	   -6.88	    8.57	 8.7534	 1.067
000.0364139433	-50.8669744147	    10	000.03625296	-50.86707363	  10.83	   41.80	   40.82	 8.6994	 0.489
000.0373373955	+46.9399963809	    11	000.03729667	+46.94000168	   4.18	   11.44	   -2.18	 7.3777	 0.081
000.0409015445	-35.9602207487	    12	000.04091710	-35.96022486	   3.25	   -5.18	    1.69	 8.5598	 1.484
000.0417002642	-22.5947047109	    13	000.04167955	-22.59468070	  -0.10	    7.87	   -9.88	 8.9707	 1.128
000.0484213905	-00.3604474395	    14	000.04827227	-00.36042124	   4.86	   61.35	  -10.78	 7.4195	 1.200
000.0503645078	+50.7911861290	    15	000.05030895	+50.79117364	   1.91	   14.45	    5.14	 8.7669	 1.166
000.0524923903	-54.9143626245	    16	000.05140820	-54.91412791	   1.33	  256.40	  -96.57	11.8279	 0.421
000.0509913860	-40.1923970618	    17	000.05109973	-40.19232840	   7.33	  -34.05	  -28.25	 8.2405	 0.425
